job_id,job_title,company,descriptions,location,category,subcategory,type,salary,cleaned_job_title,cleaned_descriptions,normalized_company,normalized_location,normalized_category,normalized_subcategory,normalized_type
72761527,Data Engineer,ANHSIN TECHNOLOGY SDN BHD,"Design, develop, and maintain scalable and robust data architecture.
Create and manage databases, data processing systems, and data integration solutions.
Develop and implement efficient ETL processes for data ingestion and transformation.
Ensure data quality and integrity throughout the ETL pipeline.
Design and implement data models for optimal storage and retrieval.
Build and maintain data warehouses for analysis and reporting purposes.
Monitor and optimize database performance.
Troubleshoot and resolve data-related issues in a timely manner.
Work with stakeholders to understand data requirements and translate them into effective database structures.
Implement and enforce data security measures and compliance standards.
Collaborate with cross-functional teams, including AI Engineer, Data Scientists, Data Analysts, Software engineers and DevOps.
Bachelor's degree or higher education qualification in Computer Science, Software Engineering, or a related field 
Proven experience as a Data Engineer or similar role.
Able to speak in English and Mandarin.
Hands-on experience with data warehousing, ETL processes, and database management.
Proficiency in SQL and one or more programming languages (e.g., Python, Java, JavaScript).
Knowledge of data modelling and database design principles.
Strong proficiency with ETL tools such as Apache Airflow and Dagster.
Familiarity with Big Data technologies (e.g., Hadoop, Spark).
Understanding of data governance principles and practices.
Exposure to machine learning concepts and integration of machine learning models into data pipelines.
Familiarity with containerization tools like Docker and orchestration tools like Kubernetes.
Knowledge of streaming data technologies (e.g., Apache Kafka).
Experience with cloud platforms such as AWS, Azure, or Google Cloud.
How many years' experience do you have as a Data Engineer?
What's your expected monthly basic salary?
Which of the following programming languages are you experienced in?
How many years' experience do you have using SQL queries?
Have you worked in a role which requires experience with machine learning?",Kuala Lumpur,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,data engineer,design develop and maintain scalable and robust data architecture create and manage databases data processing systems and data integration solutions develop and implement efficient etl processes for data ingestion and transformation ensure data quality and integrity throughout the etl pipeline design and implement data models for optimal storage and retrieval build and maintain data warehouses for analysis and reporting purposes monitor and optimize database performance troubleshoot and resolve datarelated issues in a timely manner work with stakeholders to understand data requirements and translate them into effective database structures implement and enforce data security measures and compliance standards collaborate with crossfunctional teams including ai engineer data scientists data analysts software engineers and devops bachelors degree or higher education qualification in computer science software engineering or a related field proven experience as a data engineer or similar role able to speak in english and mandarin handson experience with data warehousing etl processes and database management proficiency in sql and one or more programming languages eg python java javascript knowledge of data modelling and database design principles strong proficiency with etl tools such as apache airflow and dagster familiarity with big data technologies eg hadoop spark understanding of data governance principles and practices exposure to machine learning concepts and integration of machine learning models into data pipelines familiarity with containerization tools like docker and orchestration tools like kubernetes knowledge of streaming data technologies eg apache kafka experience with cloud platforms such as aws azure or google cloud how many years experience do you have as a data engineer whats your expected monthly basic salary which of the following programming languages are you experienced in how many years experience do you have using sql queries have you worked in a role which requires experience with machine learning,anhsin technology sdn bhd,kuala lumpur,science & technology,"mathematics, statistics & information sciences",full time
72787241,Machine Learning Engineer (AI),Accordia Global Sdn Bhd,"Design, develop, and deploy machine learning models for our AI assistants
Work with data scientists and engineers to build and maintain our data pipelines and infrastructure
Evaluate and improve the performance of our AI assistants
Collaborate with product managers and designers to ensure that our AI assistants meet the needs of our customers
Collaborate with a multi-functional agile team of data science, UX / UI design, product management, and engineering to build new features / products / services that delight our customers.
Develop and create end-to-end machine learning feedback loop and integrate it into various customer interaction applications.
Improve existing machine learning models both in terms of model performance and computing performance.
Help drive code review, optimization, testing, and tooling to improve code quality and system reliability.
Research and implement best practices to enhance existing machine learning infrastructure and process.
Be part of an active group of data science and machine learning practitioners that shape the direction of machine learning and artificial intelligence of the organization.
BS or higher in Computer Science, Computer Engineering or related technical fields involving Machine Learning or equivalent technical experience
Strong analytical and problem-solving skills - Proven software development skills in multiple programming languages (e.g., Python, Golang, C, React, Angular)
Experience with machine learning software packages (e.g., ChatGPT, Keras, scikit-learn, XGBoost, TensorFlow, NLTK, Caffe, Theano)
Conversational platforms such as Rasa and Nuance Mix
Familiar with LLM Model such as Chatgpt or Google's Bard
Familiarity with container-based technologies (e.g., Docker, Kubernetes) and DevOps practices (e.g., code review, automated testing, CI / CD, logging, performance monitoring)
Front-end technologies such as React and React Native (Nice to have)
Familiar with Relational, NoSQL & Vector databases (MySQL, MongoDB, Weaviate, etc)
Strong communication skills & collaborative mindset
Experience with data processing tools (e.g., Hadoop, Apache Spark, Apache Beam) and Cloud platforms (e.g., AWS, Azure, GCP) considered a plus
Competitive salary and benefits package
Opportunity to work on challenging and innovative projects
Collaborative and supportive work environment
Opportunities for professional development and growth
We are a team of passionate and innovative engineers who are committed to building the best possible AI assistants for our customers.
We offer a collaborative and supportive work environment where everyone is valued and respected.
We are committed to professional development and growth, and we offer our employees opportunities to learn and grow their skills.
We offer a competitive salary and benefits package.
If you are a talented and passionate Machine Learning Engineer who is looking for a challenging and rewarding opportunity, we encourage you to apply!
Have you worked in a role which requires experience with machine learning?
What's your expected monthly basic salary?
How many years' experience do you have as a Machine Learning Engineer?",Shah Alam/Subang,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,"RM 5,000 – RM 7,000 per month",machine learning engineer ai,design develop and deploy machine learning models for our ai assistants work with data scientists and engineers to build and maintain our data pipelines and infrastructure evaluate and improve the performance of our ai assistants collaborate with product managers and designers to ensure that our ai assistants meet the needs of our customers collaborate with a multifunctional agile team of data science ux ui design product management and engineering to build new features products services that delight our customers develop and create endtoend machine learning feedback loop and integrate it into various customer interaction applications improve existing machine learning models both in terms of model performance and computing performance help drive code review optimization testing and tooling to improve code quality and system reliability research and implement best practices to enhance existing machine learning infrastructure and process be part of an active group of data science and machine learning practitioners that shape the direction of machine learning and artificial intelligence of the organization bs or higher in computer science computer engineering or related technical fields involving machine learning or equivalent technical experience strong analytical and problemsolving skills proven software development skills in multiple programming languages eg python golang c react angular experience with machine learning software packages eg chatgpt keras scikitlearn xgboost tensorflow nltk caffe theano conversational platforms such as and nuance mix familiar with llm model such as chatgpt or googles bard familiarity with containerbased technologies eg docker kubernetes and devops practices eg code review automated testing ci cd logging performance monitoring frontend technologies such as react and react native nice to have familiar with relational nosql vector databases mysql mongodb weaviate etc strong communication skills collaborative mindset experience with data processing tools eg hadoop apache spark apache beam and cloud platforms eg aws azure gcp considered a plus competitive salary and benefits package opportunity to work on challenging and innovative projects collaborative and supportive work environment opportunities for professional development and growth we are a team of passionate and innovative engineers who are committed to building the best possible ai assistants for our customers we offer a collaborative and supportive work environment where everyone is valued and respected we are committed to professional development and growth and we offer our employees opportunities to learn and grow their skills we offer a competitive salary and benefits package if you are a talented and passionate machine learning engineer who is looking for a challenging and rewarding opportunity we encourage you to apply have you worked in a role which requires experience with machine learning whats your expected monthly basic salary how many years experience do you have as a machine learning engineer,accordia global sdn bhd,shah alam/subang,science & technology,"mathematics, statistics & information sciences",full time
72866732,Senior Risk/Data Analyst,Toyota Capital Malaysia Sdn. Bhd.,"Analyse data to better understand potential risks, concerns and outcomes of decisions.
Aggregate data from multiple sources to provide a comprehensive assessment.
Create reports, summaries, presentations and process documents to display results.
Collaborate with other team members to effectively analyse and present data.
Develop systems and processes for gathering and storing data for future analytic projects.
Conduct research into potential clients and understand the risks of accepting each one.
Identify economic and financial trends that may present a risk to the company.
Monitor internal and external data points that may affect the risk level of a decision.
To support ad-hoc tasks assigned by superior as and when required.
Degree in Mathematics / Statistics / Data Analytics.
Minimum 3 – 7 years of similar working experiences.
Advance in Excel and familiar with Data Analytics Tool – SAS etc. 
Well versed in English and Bahasa Malaysia.
What's your expected monthly basic salary?
How many years' experience do you have as a data analyst?
Which of the following Microsoft Office products are you experienced with?
How much notice are you required to give your current employer?
Which of the following data mining tools are you experienced with?",Petaling,Banking & Financial Services,Compliance & Risk,Full time,,senior riskdata analyst,analyse data to better understand potential risks concerns and outcomes of decisions aggregate data from multiple sources to provide a comprehensive assessment create reports summaries presentations and process documents to display results collaborate with other team members to effectively analyse and present data develop systems and processes for gathering and storing data for future analytic projects conduct research into potential clients and understand the risks of accepting each one identify economic and financial trends that may present a risk to the company monitor internal and external data points that may affect the risk level of a decision to support adhoc tasks assigned by superior as and when required degree in mathematics statistics data analytics minimum 3 7 years of similar working experiences advance in excel and familiar with data analytics tool sas etc well versed in english and bahasa malaysia whats your expected monthly basic salary how many years experience do you have as a data analyst which of the following microsoft office products are you experienced with how much notice are you required to give your current employer which of the following data mining tools are you experienced with,toyota capital malaysia sdn. bhd.,petaling,banking & financial services,compliance & risk,full time
72851872,Senior Data Engineer (Hybrid Working),SEEK,"Design, development, testing, and operation of:
Big data processing pipelines
Tools for managing and monitoring data systems and processes, including quality, security, lifecycle
Deploy, operate, and support data infrastructure and services on Databricks and AWS
Maintaining system health, ensuring that our systems are secure, reliable, resilient and cost effective.
Growing the technical capabilities of more junior engineers through coaching and mentoring.
Building and operating cloud-based data processing and warehousing solutions
Big data processing experience, preferably Databricks, EMR, Spark & Hadoop
Strong software engineering, coding & scripting
Advanced SQL and database skills
Logical and physical data modelling
Ownership of deployments, infrastructure, system administration, monitoring, and operations (ie. DevOps)
Data pipeline / ETL / workflow orchestration with Airflow
Databricks platform, particularly Spark Structured Streaming, Delta Lakes & Unity Catalog
AWS services, particularly EMR & S3, but also IAM, Cloudformation, CDK, Lambda, SNS, SQS, SSM
Kafka technologies, particularly KStreams DSL, processor and producer/consumer APIs
Develop clean code using good practices like CI/CD, TDD, pair programming, code review
Experience with Splunk and/or Datadog
Which of the following statements best describes your right to work in Malaysia?",Kuala Lumpur,Information & Communication Technology,Engineering - Software,Full time,,senior data engineer hybrid working,design development testing and operation of big data processing pipelines tools for managing and monitoring data systems and processes including quality security lifecycle deploy operate and support data infrastructure and services on databricks and aws maintaining system health ensuring that our systems are secure reliable resilient and cost effective growing the technical capabilities of more junior engineers through coaching and mentoring building and operating cloudbased data processing and warehousing solutions big data processing experience preferably databricks emr spark hadoop strong software engineering coding scripting advanced sql and database skills logical and physical data modelling ownership of deployments infrastructure system administration monitoring and operations ie devops data pipeline etl workflow orchestration with airflow databricks platform particularly spark structured streaming delta lakes unity catalog aws services particularly emr s3 but also iam cloudformation cdk lambda sns sqs ssm kafka technologies particularly kstreams dsl processor and producerconsumer apis develop clean code using good practices like cicd tdd pair programming code review experience with splunk andor datadog which of the following statements best describes your right to work in malaysia,seek,kuala lumpur,information & communication technology,engineering - software,full time
72526811,Data Scientist (Hybrid Working),SEEK Asia (JobStreet),"Research, build, deploy and maintain Recommendations AI solutions integrated with recruitment products aiming to properly connect candidates to recruiters
Improve the chances of matching (job placements) to leverage our AI platform to the next level
Work with Strategy, Product, Data Science and Software Development teams to address a variety of challenging business problems
Collaborate with teams from Asia, Pacific and America partners
Explore new methodologies and technologies to address R&D problems in a truly collaborative way
Around 2 years of commercial experience
A MSc or PhD qualification in Computer Science, Computational Physics, Mathematics, Statistics or a related field
Professional experience in one of the following programming languages:
Large scale development using Python, Go, C/C++, or Java
Strong background in:
Algorithms and data structures
Information Retrieval
Machine Learning
Good communication and interpersonal skills
Large scale development using Python, Go, C/C++, or Java
Algorithms and data structures
Information Retrieval
Machine Learning
Ability to perform data exploratory analysis for proof of concepts and to communicate the results to a diverse audience
Practice with
Search engine such as Elasticsearch or SOLR;
Relational database such as MySQL or PostgreSQL;
Amazon Web Services (e.g. EC2, ELB, S3, VPC, Route 53);
Distributed processing framework such as Hadoop or Spark;
Container package such as Docker;
Deployment tools, such as Ansible, Terraform and Chef
Knowledge in:
Recommender Systems
Data Mining
Natural Language Processing
Optimization
Deep Learning
Ability to adapt quickly and manage an environment of rapid change and development
Search engine such as Elasticsearch or SOLR;
Relational database such as MySQL or PostgreSQL;
Amazon Web Services (e.g. EC2, ELB, S3, VPC, Route 53);
Distributed processing framework such as Hadoop or Spark;
Container package such as Docker;
Deployment tools, such as Ansible, Terraform and Chef
Recommender Systems
Data Mining
Natural Language Processing
Optimization
Deep Learning
Forming clear data addressable problem statements from current business problems
Gathering, validating and understanding data relevant to the problem statement
Designing and building data transformation pipelines and machine learning algorithms to solve the business problem
Working with product management and other business stakeholders to review and iterate data products to fit emerging market trends
Evangelising appropriate ML methods and explaining them, and their associated benefits and limitations to team members from Engineering and Strategy",Kuala Lumpur,Information & Communication Technology,Developers/Programmers,Full time,,data scientist hybrid working,research build deploy and maintain recommendations ai solutions integrated with recruitment products aiming to properly connect candidates to recruiters improve the chances of matching job placements to leverage our ai platform to the next level work with strategy product data science and software development teams to address a variety of challenging business problems collaborate with teams from asia pacific and america partners explore new methodologies and technologies to address rd problems in a truly collaborative way around 2 years of commercial experience a msc or phd qualification in computer science computational physics mathematics statistics or a related field professional experience in one of the following programming languages large scale development using python go cc or java strong background in algorithms and data structures information retrieval machine learning good communication and interpersonal skills large scale development using python go cc or java algorithms and data structures information retrieval machine learning ability to perform data exploratory analysis for proof of concepts and to communicate the results to a diverse audience practice with search engine such as elasticsearch or solr relational database such as mysql or postgresql amazon web services eg ec2 elb s3 vpc route 53 distributed processing framework such as hadoop or spark container package such as docker deployment tools such as ansible terraform and chef knowledge in recommender systems data mining natural language processing optimization deep learning ability to adapt quickly and manage an environment of rapid change and development search engine such as elasticsearch or solr relational database such as mysql or postgresql amazon web services eg ec2 elb s3 vpc route 53 distributed processing framework such as hadoop or spark container package such as docker deployment tools such as ansible terraform and chef recommender systems data mining natural language processing optimization deep learning forming clear data addressable problem statements from current business problems gathering validating and understanding data relevant to the problem statement designing and building data transformation pipelines and machine learning algorithms to solve the business problem working with product management and other business stakeholders to review and iterate data products to fit emerging market trends evangelising appropriate ml methods and explaining them and their associated benefits and limitations to team members from engineering and strategy,seek asia (jobstreet),kuala lumpur,information & communication technology,developers/programmers,full time
72762762,Senior Engineer / Engineer - Data Management & Analytics,B. Braun Medical Industries Sdn. Bhd.,"Build, maintain and utilize a variety of databases to discover technical and marketing insights for the development of new solutions and improvement of existing products.
Design and manage the integration of a multitude of databases to construct a relational database environment that will enable enhanced reporting and analysis within R&D Department.
Deploy tools to continuously support data collection, cross-channel data integration, data visualization, dashboards, predictive analytics, and data mining so that actionable trends, opportunities, and hypothesis can be determined to expedite R&D projects.
Contribute to product development roadmap and project planning process, partnering with stakeholders to evolve R&D infrastructure and data architecture to accommodate growing business needs, data volume and complexity.
Support and automate the ongoing analysis within department and key performance metrics through deep understanding of the organization needs and thus derive highly relevant prediction and analytics as the result of meaningful use of the data.
Perform ad hoc analysis as assigned and identify new opportunities for value-add analytics as needed.
Bachelor's Degree in computer science, software or computer engineering, statistics, or a related field.
At least 1 years of experience with data analytics.
Familiar with developing queries, analyzing data and developing reports, dashboards and data insights. Fluency in SQL and at least one other programming language.
Experience in using reporting tools and querying languages such as: SQL, SAS, Crystal Reports, or similar.
Experience in utilizing programming languages such as: Python, R, C/C++, JAVA, SCALA or other similar languages.
Experience with data visualization/modeling related tools such as: Power BI, Tableau, Raw, QlikView, Spotfire, etc
Good to have experience in the medical device, pharma, biotech, or healthcare related industries/ Experience working in a regulated environment.
Experience with clinical trial data is preferred.
Experience working with healthcare data (Electronic Health Records, etc.) is an added advantage.
What's your expected monthly basic salary?
Which of the following data analytics tools are you experienced with?",Penang,Engineering,Other,Full time,,senior engineer engineer data management analytics,build maintain and utilize a variety of databases to discover technical and marketing insights for the development of new solutions and improvement of existing products design and manage the integration of a multitude of databases to construct a relational database environment that will enable enhanced reporting and analysis within rd department deploy tools to continuously support data collection crosschannel data integration data visualization dashboards predictive analytics and data mining so that actionable trends opportunities and hypothesis can be determined to expedite rd projects contribute to product development roadmap and project planning process partnering with stakeholders to evolve rd infrastructure and data architecture to accommodate growing business needs data volume and complexity support and automate the ongoing analysis within department and key performance metrics through deep understanding of the organization needs and thus derive highly relevant prediction and analytics as the result of meaningful use of the data perform ad hoc analysis as assigned and identify new opportunities for valueadd analytics as needed bachelors degree in computer science software or computer engineering statistics or a related field at least 1 years of experience with data analytics familiar with developing queries analyzing data and developing reports dashboards and data insights fluency in sql and at least one other programming language experience in using reporting tools and querying languages such as sql sas crystal reports or similar experience in utilizing programming languages such as python r cc java scala or other similar languages experience with data visualizationmodeling related tools such as power bi tableau raw qlikview spotfire etc good to have experience in the medical device pharma biotech or healthcare related industries experience working in a regulated environment experience with clinical trial data is preferred experience working with healthcare data electronic health records etc is an added advantage whats your expected monthly basic salary which of the following data analytics tools are you experienced with,b. braun medical industries sdn. bhd.,penang,engineering,other,full time
72799675,Data Assistant,Wheelers Books,"Running reports to extract data following a specified schedule
Collating extracted data into Spreadsheets (book title data) for uploading to website
ensuring completeness and accuracy of title data information
Use multiple websites to clarify information for making decisions relating to accuracy of data from reports
Loading /deleting data into and out of the baskets on our website/database 
Updating master reports with a high attention to detail
Working closely with New Zealand to ensure timely fulfilment of data onto website
Liaise with in house specialist librarians in New Zealand regarding specific requests
Candidate must possess at least a Diploma, Advanced/Higher/Graduate Diploma, Computer    Science/Information Technology, Library Management or equivalent
Excellent administrative skills (2-3+ years’ experience) with strong excel capabilities preferably with Macro excel experience and strong all round computer skills
Accurate and efficient data administrative skills
Must have very strong written and spoken English and excellent communication skills
Be methodical, organised and possess the ability to multitask whilst showing initiative and enthusiasm and passion for making a difference
Have strong investigation skills and possess the ability to think outside the square
Library/publisher/book knowledge a bonus
Be flexible and open to change
Applicants must be willing to work in Bangsar South
What's your expected monthly basic salary?
How many years' experience do you have as a Data Assistant?
Which of the following Microsoft Office products are you experienced with?
Do you have data entry experience?
How would you rate your English language skills?
How much notice are you required to give your current employer?",Bangsar South,Administration & Office Support,Data Entry & Word Processing,Full time,,data assistant,running reports to extract data following a specified schedule collating extracted data into spreadsheets book title data for uploading to website ensuring completeness and accuracy of title data information use multiple websites to clarify information for making decisions relating to accuracy of data from reports loading deting data into and out of the baskets on our websitedatabase updating master reports with a high attention to detail working closely with new zealand to ensure timely fulfilment of data onto website liaise with in house specialist librarians in new zealand regarding specific requests candidate must possess at least a diploma advancedhighergraduate diploma computer scienceinformation technology library management or equivalent excellent administrative skills 23 years experience with strong excel capabilities preferably with macro excel experience and strong all round computer skills accurate and efficient data administrative skills must have very strong written and spoken english and excellent communication skills be methodical organised and possess the ability to multitask whilst showing initiative and enthusiasm and passion for making a difference have strong investigation skills and possess the ability to think outside the square librarypublisherbook knowledge a bonus be flexible and open to change applicants must be willing to work in bangsar south whats your expected monthly basic salary how many years experience do you have as a data assistant which of the following microsoft office products are you experienced with do you have data entry experience how would you rate your english language skills how much notice are you required to give your current employer,wheelers books,bangsar south,administration & office support,data entry & word processing,full time
72762141,Executive - Business Intelligence / SAS Analyst,Berjaya Sompo Insurance Berhad,"Fulfil requests from Senior Management and Business Units on business-critical information across the company, as well as supporting key submissions of data and reporting to external regulatory bodies or authorities.
Ensure that information delivered is provides useful business insight and is complete and highly accurate.
Provide support to team members to ensure smooth operation of the team.
Developing and maintaining a robust and materially correct database for reporting purposes
Produce, maintain, and enhance reports for various departments.
Review data and reports for reasonableness and suitability, advising on adjustments or enhancements where required.
Liaising with other departments to verify the accuracy of the data and information in the reports.
Promote data-driven culture in the organization.
Bachelor’s degree in computer actuarial science, statistics, mathematics, or related field.
Minimum 1 years of experience in a similar Business Intelligence or Data Analytics role.
Fresh graduate with internship experience in general insurance / data analytics role may apply.
Knowledge of programming languages such as SAS and SQL.
Experience in data visualisation tool such as Tableau.
Business acumen as well as sensitivity to numbers.
Good verbal and written communication.
Ability to make logical and persuasive arguments, adjusting as required for audiences with different backgrounds and seniority.
Project management skills and high level of commitment to promises and business-critical deadlines.
Ability to work independently and collaboratively in a fast-paced working environment.
What's your expected monthly basic salary?",Kuala Lumpur,Insurance & Superannuation,Actuarial,Full time,,executive business intelligence sas analyst,fulfil requests from senior management and business units on businesscritical information across the company as well as supporting key submissions of data and reporting to external regulatory bodies or authorities ensure that information delivered is provides useful business insight and is complete and highly accurate provide support to team members to ensure smooth operation of the team developing and maintaining a robust and materially correct database for reporting purposes produce maintain and enhance reports for various departments review data and reports for reasonableness and suitability advising on adjustments or enhancements where required liaising with other departments to verify the accuracy of the data and information in the reports promote datadriven culture in the organization bachelors degree in computer actuarial science statistics mathematics or related field minimum 1 years of experience in a similar business intelligence or data analytics role fresh graduate with internship experience in general insurance data analytics role may apply knowledge of programming languages such as sas and sql experience in data visualisation tool such as tableau business acumen as well as sensitivity to numbers good verbal and written communication ability to make logical and persuasive arguments adjusting as required for audiences with different backgrounds and seniority project management skills and high level of commitment to promises and businesscritical deadlines ability to work independently and collaboratively in a fastpaced working environment whats your expected monthly basic salary,berjaya sompo insurance berhad,kuala lumpur,insurance & superannuation,actuarial,full time
72851569,Senior Product Data Analyst (Hybrid Working),SEEK,"Act as an analytics champion in the organisation by driving or actively participating in analytics and Agile rituals, epic and roadmap planning across a broad range of company initiatives. Be a significant mover in building a strong data-driven analytics culture at Jora across all levels of the organisation.
Build strong relationships with our team of engineering, operations and product experts. Take the time to understand their domains and analytical needs, and collaborate to bring insights that support decision making.
Represent analytics in technical conversations with engineers and product on data infrastructure and design.
Do the right amount of thinking upfront to identify how to best measure performance and experiments – what are we really trying to understand and what data will we need to build that understanding?
Efficiently create and maintain dashboards for product, business and operational metrics and to provide self-serve access to frequently used data, insights and perspectives. Set up a robust process for receiving, prioritising and executing other analytical requests from a wide range of stakeholders
Quickly and accurately extract meaningful, relevant insights from data. Uncover and share clear conclusions and recommendations for action.
Be curious, interrogate data beyond the surface level.
Share your unique expertise and perspective. You will contribute to Jora’s product and service design by raising ideas, challenging ideas, and collaborating with the team to drive better outcomes.
Guide and mentor other analysts in the best analytical and data practices, as well as other professional skills.
High level of comfort with ambiguity, can drive progress through an agile test & learn mindset.
Knowledge of digital and app analytics, or able to upskill in these domains quickly.
Exceptional judgment and decision-making skills, able to prioritise the critical few things to achieve real impact.
Strong SQL competence is required, together with a demonstrated ability to manage large, complex and possibly incomplete or sparsely documented data sets.
Confident understanding of different database systems and their capabilities. Able to contribute to technical discussions with engineers on database capabilities and design, and optimize queries.
Models compelling and effective insights communication. Rather than just seeing numbers, you see the overall story and can share that insight with stakeholders from different levels of seniority and domains.
Strong communication skills that enable you to collaborate across multiple functions and teams. Able to build rapport, identify needs, deliver proposals, and constructively challenge our thinking.
Ability to balance quality with speed – investing the right amount of time/effort in developing learnings whilst recognising we need to make good decisions quickly.
Experience with data visualisation tools, and/or coding skills with Python/R would be beneficial.
Terms like AB testing, cohort, funnel analysis, statistical power and statistical significance are second nature to you.
A willingness to roll-up your sleeves and do stuff yourself – in a small team, everyone needs to “pitch-in”.
Comfortable with taking the lead and working autonomously, whilst exercising good judgement about how and when to collaborate with others.
Which of the following statements best describes your right to work in Malaysia?",Kuala Lumpur,Information & Communication Technology,Business/Systems Analysts,Full time,,senior product data analyst hybrid working,act as an analytics champion in the organisation by driving or actively participating in analytics and agile rituals epic and roadmap planning across a broad range of company initiatives be a significant mover in building a strong datadriven analytics culture at jora across all levels of the organisation build strong relationships with our team of engineering operations and product experts take the time to understand their domains and analytical needs and collaborate to bring insights that support decision making represent analytics in technical conversations with engineers and product on data infrastructure and design do the right amount of thinking upfront to identify how to best measure performance and experiments what are we really trying to understand and what data will we need to build that understanding efficiently create and maintain dashboards for product business and operational metrics and to provide selfserve access to frequently used data insights and perspectives set up a robust process for receiving prioritising and executing other analytical requests from a wide range of stakeholders quickly and accurately extract meaningful relevant insights from data uncover and share clear conclusions and recommendations for action be curious interrogate data beyond the surface level share your unique expertise and perspective you will contribute to joras product and service design by raising ideas challenging ideas and collaborating with the team to drive better outcomes guide and mentor other analysts in the best analytical and data practices as well as other professional skills high level of comfort with ambiguity can drive progress through an agile test learn mindset knowledge of digital and app analytics or able to upskill in these domains quickly exceptional judgment and decisionmaking skills able to prioritise the critical few things to achieve real impact strong sql competence is required together with a demonstrated ability to manage large complex and possibly incomplete or sparsely documented data sets confident understanding of different database systems and their capabilities able to contribute to technical discussions with engineers on database capabilities and design and optimize queries models compelling and effective insights communication rather than just seeing numbers you see the overall story and can share that insight with stakeholders from different levels of seniority and domains strong communication skills that enable you to collaborate across multiple functions and teams able to build rapport identify needs deliver proposals and constructively challenge our thinking ability to balance quality with speed investing the right amount of timeeffort in developing learnings whilst recognising we need to make good decisions quickly experience with data visualisation tools andor coding skills with pythonr would be beneficial terms like ab testing cohort funnel analysis statistical power and statistical significance are second nature to you a willingness to rollup your sleeves and do stuff yourself in a small team everyone needs to pitchin comfortable with taking the lead and working autonomously whilst exercising good judgement about how and when to collaborate with others which of the following statements best describes your right to work in malaysia,seek,kuala lumpur,information & communication technology,business/systems analysts,full time
72720034,Software Business Analyst,AIA IT (M) Sdn Bhd,"Liaise with stakeholders to review, analyze, and evaluate business applications and user needs
Perform requirements analysis, documents requirements, and revise existing system logic, business processes and workflows as necessary
Identity business needs and define actions to improve the operation of IT systems
Create user stories to manage requirements in Agile working model
Manage internal stakeholders to drive SIT / UAT
Line up application teams to come out with IT solution according to user requirements
5 years or above BA experience on IT related projects. Have experience in Agile working model and user story writing.
Comprehensive knowledge of software development process, including software design and programming
Experience working in a collaborative team environment (onshore and offshore)
Advanced knowledge and ability to perform GAP analysis, process mapping, root cause analysis, risk analysis and requirements gathering
Excellent presentation, written and verbal communication skills
This role supports Hong Kong users, Cantonese communication skills is required
Have experience in life insurance is a plus
Have Testing management experience is a plus
What's your expected monthly basic salary?
How many years' experience do you have as a business analyst?
How many years of project management experience do you have?",Kuala Lumpur,Information & Communication Technology,Business/Systems Analysts,Full time,,software business analyst,liaise with stakeholders to review analyze and evaluate business applications and user needs perform requirements analysis documents requirements and revise existing system logic business processes and workflows as necessary identity business needs and define actions to improve the operation of it systems create user stories to manage requirements in agile working model manage internal stakeholders to drive sit uat line up application teams to come out with it solution according to user requirements 5 years or above ba experience on it related projects have experience in agile working model and user story writing comprehensive knowledge of software development process including software design and programming experience working in a collaborative team environment onshore and offshore advanced knowledge and ability to perform gap analysis process mapping root cause analysis risk analysis and requirements gathering excellent presentation written and verbal communication skills this role supports hong kong users cantonese communication skills is required have experience in life insurance is a plus have testing management experience is a plus whats your expected monthly basic salary how many years experience do you have as a business analyst how many years of project management experience do you have,aia it (m) sdn bhd,kuala lumpur,information & communication technology,business/systems analysts,full time
